Zone,lat,lng
4,40.723077372181265,-73.97647779024321
12,40.70271250397406,-74.01619362850217
13,40.71008216930822,-74.01637937574625
24,40.80174145291901,-73.96475806373661
41,40.80386399082407,-73.95195572895783
42,40.82029923459081,-73.93992350466542
43,40.78362899702577,-73.96482181523857
45,40.71187840160057,-73.99867619624442
48,40.75897821538783,-73.99393579583665
50,40.76650431184914,-73.99417337407517
68,40.7526270305481,-73.99908323750009
74,40.80436912393734,-73.93532522094344
75,40.789006241022925,-73.94465000960516
79,40.72639735526741,-73.98616377795234
87,40.70637493838121,-74.00713063748887
88,40.70296009699159,-74.01150509279131
90,40.742227142574585,-73.99700835637633
100,40.75351578617562,-73.98878575158321
107,40.73670086904194,-73.98388832209831
113,40.731275463225884,-73.99403573682893
114,40.7273039269497,-73.99740229064973
116,40.827684325042384,-73.94939832824367
120,40.84516118391622,-73.93073874298595
125,40.72584075285961,-74.00755844667586
127,40.866314911578044,-73.91859764559992
128,40.87206582248001,-73.91970065153535
137,40.73950985775857,-73.97476512552254
140,40.76366625965568,-73.95608196198826
141,40.76373425839962,-73.96206352722663
142,40.77299163012096,-73.98207794989732
143,40.77651393912471,-73.98840637658432
144,40.721172116993586,-73.99657638977776
148,40.718347456872586,-73.99097417306771
151,40.79851764458077,-73.9691011415521
152,40.81875294277046,-73.95590470520985
153,40.87604683821184,-73.9101712931705
158,40.73550497948043,-74.00837142703453
161,40.75723297199253,-73.9760470208824
162,40.75649655513432,-73.97236197495663
163,40.764322877577364,-73.97719604038008
164,40.74777334945621,-73.98504414554921
166,40.80998592009015,-73.96258263866426
170,40.747272639022725,-73.97781179956029
186,40.74910250120107,-73.99200582083958
194,40.79621163325055,-73.92178217742733
202,40.76190703227638,-73.94974069533595
209,40.70884541928576,-74.00250320982182
211,40.724166693512785,-74.00112562106057
224,40.73123461706564,-73.97565225426783
229,40.75575615183806,-73.96478600260774
230,40.75984188243121,-73.984175109585
231,40.718641162092766,-74.00882024144545
232,40.71536546166187,-73.9811735877126
233,40.748733739334234,-73.96969085949695
234,40.73986622421128,-73.98958194316526
236,40.780810096561765,-73.95660144639581
237,40.76854418321932,-73.96569261245394
238,40.793325963733615,-73.97461471217723
239,40.78435469195219,-73.98116491397248
243,40.856714766208455,-73.93263179046106
244,40.84404986531536,-73.9411417473869
246,40.75389505801493,-74.00336032336475
249,40.73425363785523,-74.00296963579956
261,40.708224231721125,-74.01438069826862
262,40.777232048703276,-73.94616904207393
263,40.77855178318494,-73.95124823993245
